INDEX,DATE,TIME,Interval,Mobile_Controller,Alarm,Game,Music,Note,Training,Video,Home_Controller,AirConditioner,DoorLock,Lamp,TV,Vacuum,Washer
78,2020-06-16,4:35:46,16546,1,0,0,0,0,0,0,1,0,0,1,1,0,0
79,2020-06-16,4:35:47,16547,1,0,0,0,0,0,0,1,0,0,1,1,0,0
80,2020-06-16,4:35:48,16548,1,0,0,0,0,0,0,1,0,0,1,0,0,0
81,2020-06-16,4:35:49,16549,1,0,0,0,0,0,0,1,0,0,0,0,0,0
82,2020-06-16,4:35:50,16550,1,0,0,0,0,0,0,1,0,0,0,0,0,0
83,2020-06-16,4:35:51,16551,1,0,0,0,0,0,0,1,0,0,0,0,0,0
84,2020-06-16,4:35:52,16552,1,0,0,0,0,0,0,1,0,0,0,0,0,0
85,2020-06-16,4:35:53,16553,1,0,0,0,0,0,0,1,0,0,0,0,0,0
86,2020-06-16,4:35:54,16554,1,0,0,0,0,0,0,1,0,0,0,0,0,0
87,2020-06-16,4:35:55,16555,1,0,0,0,0,0,0,1,0,0,0,0,0,0
88,2020-06-16,4:35:56,16556,1,0,0,0,0,0,0,1,0,0,0,0,0,0
89,2020-06-16,4:35:57,16557,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90,2020-06-16,4:35:58,16558,1,1,0,0,0,0,0,1,0,0,0,0,0,0
91,2020-06-16,4:35:59,16559,1,1,0,0,0,0,0,1,0,0,0,0,0,0
92,2020-06-16,4:36:00,16560,1,1,0,0,0,0,0,1,0,0,0,0,0,0
93,2020-06-16,4:36:01,16561,1,1,0,0,0,0,0,1,0,0,0,0,0,0
94,2020-06-16,4:36:02,16562,1,1,0,0,0,0,0,1,0,0,0,0,0,0
95,2020-06-16,4:36:03,16563,1,1,0,0,0,0,0,1,0,0,0,0,0,0
96,2020-06-16,4:36:04,16564,1,0,0,0,0,0,0,1,0,0,0,0,0,0
97,2020-06-16,4:36:05,16565,1,0,0,0,0,0,0,1,0,0,1,0,0,0
98,2020-06-16,4:36:06,16566,1,0,0,0,0,0,0,1,0,0,1,0,0,0
99,2020-06-16,4:36:07,16567,1,0,0,0,0,0,0,1,0,0,1,0,0,0
100,2020-06-16,4:36:08,16568,1,0,0,0,0,0,0,1,0,0,1,0,0,0
101,2020-06-16,4:36:09,16569,1,0,0,0,0,0,0,1,0,0,1,0,0,0
102,2020-06-16,4:36:10,16570,1,0,0,0,0,0,0,1,0,0,1,0,0,0
103,2020-06-16,4:36:11,16571,1,0,0,0,0,0,0,1,0,0,1,0,0,0
104,2020-06-16,4:36:12,16572,1,0,0,0,0,0,0,1,0,0,1,0,0,0
105,2020-06-16,4:36:13,16573,1,0,0,0,0,0,0,1,0,0,1,0,0,0
106,2020-06-16,4:36:14,16574,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107,2020-06-16,4:36:15,16575,1,0,0,0,0,0,0,1,0,0,1,1,0,0
108,2020-06-16,4:36:16,16576,1,0,0,0,0,0,0,1,0,0,1,1,0,0
109,2020-06-16,4:36:17,16577,1,0,0,0,0,0,0,1,0,0,1,1,0,0
110,2020-06-16,4:36:18,16578,1,0,0,0,0,0,0,1,0,0,1,1,0,0
111,2020-06-16,4:36:19,16579,1,0,0,0,0,0,0,1,0,0,1,1,0,0
112,2020-06-16,4:36:20,16580,1,0,0,0,0,0,0,1,0,0,0,0,0,0
113,2020-06-16,4:36:21,16581,1,0,0,0,0,0,0,1,0,0,0,0,0,0
114,2020-06-16,4:36:22,16582,1,0,0,0,0,0,0,1,0,0,0,0,0,0
115,2020-06-16,4:36:23,16583,1,0,0,0,0,0,0,1,0,0,0,0,0,0
116,2020-06-16,4:36:24,16584,1,0,0,0,0,0,0,1,0,0,0,0,0,0
117,2020-06-16,4:36:25,16585,1,0,0,0,0,0,0,1,0,0,0,0,0,0
118,2020-06-16,4:36:26,16586,1,0,0,0,0,0,0,1,0,0,0,0,0,0
119,2020-06-16,4:36:27,16587,1,0,0,0,0,0,0,1,0,0,0,0,0,0
120,2020-06-16,4:36:28,16588,1,0,0,0,0,0,0,1,0,0,0,0,0,0
121,2020-06-16,4:36:29,16589,1,0,0,0,0,0,0,1,0,0,0,0,0,0
122,2020-06-16,4:36:30,16590,1,1,0,0,0,0,0,1,0,0,0,0,0,0
123,2020-06-16,4:36:31,16591,1,1,0,0,0,0,0,1,0,0,0,0,0,0
124,2020-06-16,4:36:32,16592,1,1,0,0,0,0,0,1,0,0,0,0,0,0
125,2020-06-16,4:36:33,16593,1,1,0,0,0,0,0,1,0,0,0,0,0,0
126,2020-06-16,4:36:34,16594,1,1,0,0,0,0,0,1,0,0,0,0,0,0
127,2020-06-16,4:36:35,16595,1,1,0,0,0,0,0,1,0,0,1,0,0,0
128,2020-06-16,4:36:36,16596,1,0,0,0,0,0,0,1,0,0,1,0,0,0
129,2020-06-16,4:36:37,16597,1,0,0,0,0,0,0,1,0,0,1,0,0,0
130,2020-06-16,4:36:38,16598,1,0,0,0,0,0,0,1,0,0,1,0,0,0
131,2020-06-16,4:36:39,16599,1,0,0,0,0,0,0,1,0,0,1,0,0,0
132,2020-06-16,4:36:40,16600,1,0,0,0,0,0,0,1,0,0,1,0,0,0
133,2020-06-16,4:36:41,16601,1,0,0,0,0,0,0,1,0,0,1,0,0,0
134,2020-06-16,4:36:42,16602,1,0,0,0,0,0,0,1,0,0,1,0,0,0
135,2020-06-16,4:36:43,16603,1,0,0,0,0,0,0,1,0,0,1,0,0,0
